<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,1,20180904,13:28:00,228.4700000,228.4700000,228.3100000,228.3100000,2100
US2.AAPL,1,20180904,13:29:00,228.3100000,228.3800000,228.2900000,228.3700000,4200
US2.AAPL,1,20180904,13:30:00,228.3600000,228.3600000,228.3300000,228.3600000,752
US2.AAPL,1,20180904,13:31:00,228.3600000,228.4400000,228.3100000,228.4100000,1600
US2.AAPL,1,20180904,13:32:00,228.4100000,228.4100000,228.3800000,228.3800000,500
US2.AAPL,1,20180904,13:33:00,228.4200000,228.5600000,228.4000000,228.5600000,1800
US2.AAPL,1,20180904,13:34:00,228.5600000,228.5900000,228.5100000,228.5200000,1900
US2.AAPL,1,20180904,13:35:00,228.5600000,228.5900000,228.5300000,228.5300000,1700
US2.AAPL,1,20180904,13:36:00,228.5500000,228.5500000,228.4800000,228.4800000,1100
US2.AAPL,1,20180904,13:37:00,228.4550000,228.4900000,228.4550000,228.4800000,1300
US2.AAPL,1,20180904,13:38:00,228.4900000,228.5200000,228.4600000,228.4700000,1500
US2.AAPL,1,20180904,13:39:00,228.4800000,228.5000000,228.4200000,228.4900000,2200
US2.AAPL,1,20180904,13:40:00,228.4400000,228.4400000,228.3900000,228.4000000,1300
US2.AAPL,1,20180904,13:41:00,228.4100000,228.4800000,228.3700000,228.4000000,1814
US2.AAPL,1,20180904,13:42:00,228.3800000,228.4900000,228.3800000,228.4200000,2290
US2.AAPL,1,20180904,13:43:00,228.4300000,228.5700000,228.4300000,228.5500000,2400
US2.AAPL,1,20180904,13:44:00,228.5000000,228.5000000,228.2900000,228.3000000,3800
US2.AAPL,1,20180904,13:45:00,228.2600000,228.2600000,228.1600000,228.1600000,4823
US2.AAPL,1,20180904,13:46:00,228.2000000,228.2000000,228.0700000,228.2000000,3300
US2.AAPL,1,20180904,13:47:00,228.2100000,228.2800000,228.1800000,228.2700000,1450
US2.AAPL,1,20180904,13:48:00,228.2800000,228.3300000,228.2400000,228.3300000,1820
US2.AAPL,1,20180904,13:49:00,228.2700000,228.4200000,228.2700000,228.4200000,1000
US2.AAPL,1,20180904,13:50:00,228.4000000,228.4600000,228.3700000,228.4000000,2162
US2.AAPL,1,20180904,13:51:00,228.3900000,228.5600000,228.3900000,228.5100000,3700
US2.AAPL,1,20180904,13:52:00,228.5500000,228.5600000,228.4200000,228.4200000,800
US2.AAPL,1,20180904,13:53:00,228.4700000,228.4900000,228.4000000,228.4900000,1500
US2.AAPL,1,20180904,13:54:00,228.4800000,228.4800000,228.4300000,228.4600000,1600
US2.AAPL,1,20180904,13:55:00,228.4500000,228.5900000,228.4200000,228.5200000,5500
US2.AAPL,1,20180904,13:56:00,228.5500000,228.5700000,228.5100000,228.5500000,1900
US2.AAPL,1,20180904,13:57:00,228.5700000,228.5900000,228.5300000,228.5400000,1200
US2.AAPL,1,20180904,13:58:00,228.5500000,228.5700000,228.4200000,228.4200000,5337
US2.AAPL,1,20180904,13:59:00,228.4100000,228.4900000,228.3600000,228.4800000,1100
US2.AAPL,1,20180904,14:00:00,228.5100000,228.5100000,228.4500000,228.4900000,1996
US2.AAPL,1,20180904,14:01:00,228.5000000,228.5500000,228.5000000,228.5200000,1300
US2.AAPL,1,20180904,14:02:00,228.5500000,228.5500000,228.4100000,228.4100000,1100
US2.AAPL,1,20180904,14:03:00,228.4700000,228.4700000,228.4000000,228.4200000,1400
US2.AAPL,1,20180904,14:04:00,228.4200000,228.4500000,228.3700000,228.3900000,3000
US2.AAPL,1,20180904,14:05:00,228.3300000,228.4100000,228.3300000,228.3700000,3095
US2.AAPL,1,20180904,14:06:00,228.4000000,228.4400000,228.3800000,228.4400000,1400
US2.AAPL,1,20180904,14:07:00,228.4500000,228.4600000,228.4100000,228.4600000,1500
US2.AAPL,1,20180904,14:08:00,228.4600000,228.4600000,228.3900000,228.3900000,1200
US2.AAPL,1,20180904,14:09:00,228.3800000,228.3800000,228.1800000,228.2000000,4299
US2.AAPL,1,20180904,14:10:00,228.2200000,228.2400000,228.1600000,228.2000000,5180
US2.AAPL,1,20180904,14:11:00,228.2500000,228.2700000,228.2200000,228.2700000,2800
US2.AAPL,1,20180904,14:12:00,228.2800000,228.2800000,228.2000000,228.2600000,1500
US2.AAPL,1,20180904,14:13:00,228.2700000,228.2900000,228.2600000,228.2800000,1500
US2.AAPL,1,20180904,14:14:00,228.3100000,228.3100000,228.1800000,228.2200000,1000
US2.AAPL,1,20180904,14:15:00,228.2500000,228.2600000,228.1800000,228.2300000,3100
US2.AAPL,1,20180904,14:16:00,228.2100000,228.2800000,228.1600000,228.1800000,1600
US2.AAPL,1,20180904,14:17:00,228.2000000,228.4100000,228.2000000,228.2800000,5000
US2.AAPL,1,20180904,14:18:00,228.2900000,228.3200000,228.2300000,228.2500000,1600
US2.AAPL,1,20180904,14:19:00,228.2200000,228.2200000,228.1800000,228.2000000,1700
US2.AAPL,1,20180904,14:20:00,228.2000000,228.2000000,228.1500000,228.1900000,600
